LIST,name,COMPANY_NAME,RDIST_LABEL,state,SITE,PADD,PRODUCT,SUPPLY,QUANTITY,Company_ID,Location_ID,Year,TYPE,Throughput_ID,Facility_ID,CITY
117,Guardian Lima Llc,Guardian Lima Llc,,Ohio,Lima,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),4,117,252,2020,Ethanol,1875,252,Lima
118,Hankinson Renewable Energy Llc,Hankinson Renewable Energy Llc,,North Dakota,Hankinson Renewable Energy,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),8,118,253,2020,Ethanol,1876,253,Hankinson Renewable Energy
119,Heartland Corn Products,Heartland Corn Products,,Minnesota,Heartland,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),8,119,254,2020,Ethanol,1877,254,Heartland
120,Hereford Renewable Energy Llc,Hereford Renewable Energy Llc,,Texas,Hereford,3,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),7,120,255,2020,Ethanol,1878,255,Hereford
121,Hero Bx Alabama LLC,Hero Bx Alabama LLC,,Alabama,0,3,OPERATING CAPACITY,Biodiesel Production Capacity (barrels per stream day),1,121,256,2020,Biodiesel,1879,256,0
122,Heron Lake Bioenergy Llc,Heron Lake Bioenergy Llc,,Minnesota,Heron Lake,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),5,122,257,2020,Ethanol,1880,257,Heron Lake
123,Highwater Ethanol Llc,Highwater Ethanol Llc,,Minnesota,Highwater,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),5,123,258,2020,Ethanol,1881,258,Highwater
124,Homeland Energy Solutions Llc,Homeland Energy Solutions Llc,,Iowa,Lawler,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),9,124,259,2020,Ethanol,1882,259,Lawler
125,Hub City Energy Llc,Hub City Energy Llc,,South Dakota,Aberdeen Ii,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),4,125,260,2020,Ethanol,1883,260,Aberdeen Ii
126,Huron Energy Llc,Huron Energy Llc,,South Dakota,Huron,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),2,126,261,2020,Ethanol,1884,261,Huron
127,Husker Ag Llc,Husker Ag Llc,,Nebraska,Plainview,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),6,127,262,2020,Ethanol,1885,262,Plainview
128,Icm Biofuels Llc,Icm Biofuels Llc,,Missouri,Saint Joseph,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),3,128,263,2020,Ethanol,1886,263,Saint Joseph
129,Illinois Corn Processing Llc,Illinois Corn Processing Llc,,Illinois,Pekin,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),5,129,264,2020,Ethanol,1887,264,Pekin
130,Illinois River Energy Llc,Illinois River Energy Llc,,Illinois,Chs Rochelle,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),8,130,265,2020,Ethanol,1888,265,Chs Rochelle
131,Imperial Western Products Inc,Imperial Western Products Inc,,California,0,5,OPERATING CAPACITY,Biodiesel Production Capacity (barrels per stream day),1,131,266,2020,Biodiesel,1889,266,0
132,Incobrasa Industries Ltd,Incobrasa Industries Ltd,,Illinois,0,2,OPERATING CAPACITY,Biodiesel Production Capacity (barrels per stream day),2,132,267,2020,Biodiesel,1890,267,0
133,Ingredion Inc,Ingredion Inc,,Iowa,Ingredion,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),3,133,268,2020,Ethanol,1891,268,Ingredion
134,Iowa Renewable Energy LLC,Iowa Renewable Energy LLC,,Iowa,0,2,OPERATING CAPACITY,Biodiesel Production Capacity (barrels per stream day),2,134,269,2020,Biodiesel,1892,269,0
135,Iroquois Bio-Energy Co Llc,Iroquois Bio-Energy Co Llc,,Indiana,Rensselaer,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),4,135,270,2020,Ethanol,1893,270,Rensselaer
136,James Valley Ethanol Llc,James Valley Ethanol Llc,,South Dakota,Groton,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),4,136,271,2020,Ethanol,1894,271,Groton
137,Kaapa Ethanol Llc,Kaapa Ethanol Llc,,Nebraska,Minden,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),6,137,272,2020,Ethanol,1895,272,Minden
138,Kansas Ethanol Llc,Kansas Ethanol Llc,,Kansas,Kansas Ethanol Llc,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),5,138,274,2020,Ethanol,1897,274,Kansas Ethanol Llc
139,Lake Erie Biofuels LLC,Lake Erie Biofuels LLC,,Pennsylvania,0,1,OPERATING CAPACITY,Biodiesel Production Capacity (barrels per stream day),3,139,275,2020,Biodiesel,1898,275,0
140,Lakeview Biodiesel LLC,Lakeview Biodiesel LLC,,Missouri,0,2,OPERATING CAPACITY,Biodiesel Production Capacity (barrels per stream day),1,140,276,2020,Biodiesel,1899,276,0
141,Lincolnland Agri-Energy Llc,Lincolnland Agri-Energy Llc,,Illinois,Palestine,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),4,141,277,2020,Ethanol,1900,277,Palestine
142,Little Sioux Corn Processors Lllp,Little Sioux Corn Processors Lllp,,Iowa,Little Sioux,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),11,142,279,2020,Ethanol,1902,279,Little Sioux
143,Louis Dreyfus Co,Louis Dreyfus Agricultural Industries LLC,,Indiana,0,2,OPERATING CAPACITY,Biodiesel Production Capacity (barrels per stream day),6,143,280,2020,Biodiesel,1903,280,0
144,Lva Crawfordsville Biofuel LLC,Lva Crawfordsville Biofuel LLC,,Iowa,0,2,OPERATING CAPACITY,Biodiesel Production Capacity (barrels per stream day),1,144,282,2020,Biodiesel,1905,282,0
145,Marquis Energy Llc,Marquis Energy Llc,,Illinois,Hennepin,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),22,145,283,2020,Ethanol,1906,283,Hennepin
146,Marysville Ethanol Llc,Marysville Ethanol Llc,,Michigan,Marysville,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),3,146,285,2020,Ethanol,1908,285,Marysville
147,Mgp Ingredients Inc,Mgp Ingredients Inc,,Kansas,Atchison,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),1,147,286,2020,Ethanol,1909,286,Atchison
148,Mid America Agri Products Llc,Mid America Agri Products Llc,,Nebraska,Madrid,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),3,148,287,2020,Ethanol,1910,287,Madrid
149,"Mid-America Biofuels, LLC","Mid-America Biofuels, LLC",,Missouri,0,2,OPERATING CAPACITY,Biodiesel Production Capacity (barrels per stream day),3,149,288,2020,Biodiesel,1911,288,0
150,Mid-Missouri Energy Llc,Mid-Missouri Energy Llc,,Missouri,Malta Bend,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),4,150,289,2020,Ethanol,1912,289,Malta Bend
151,Midwest Renewable Energy Llc,Midwest Renewable Energy Llc,,Nebraska,Sutherland,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),2,151,290,2020,Ethanol,1913,290,Sutherland
152,Minnesota Soybean Processors,Minnesota Soybean Processors,,Minnesota,0,2,OPERATING CAPACITY,Biodiesel Production Capacity (barrels per stream day),2,152,291,2020,Biodiesel,1914,291,0
153,Nebraska Corn Processing Llc,Nebraska Corn Processing Llc,,Nebraska,Ncp,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),3,153,292,2020,Ethanol,1915,292,Ncp
154,Nesika Energy Llc,Nesika Energy Llc,,Kansas,Nesika Energy Llc,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),1,154,293,2020,Ethanol,1916,293,Nesika Energy Llc
155,Northeast Missouri Grain Llc,Northeast Missouri Grain Llc,,Missouri,Macon,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),3,155,294,2020,Ethanol,1917,294,Macon
156,Northern Lights Ethanol Llc,Northern Lights Ethanol Llc,,South Dakota,Big Stone,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),6,156,295,2020,Ethanol,1918,295,Big Stone
157,Nugen Energy Llc,Nugen Energy Llc,,South Dakota,Marion,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),10,157,296,2020,Ethanol,1919,296,Marion
158,One Earth Energy Llc,One Earth Energy Llc,,Illinois,One Earth,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),10,158,297,2020,Ethanol,1920,297,One Earth
159,Otter Creek Ethanol,Otter Creek Ethanol,,Iowa,Ashton,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),4,159,298,2020,Ethanol,1921,298,Ashton
160,Owensboro Grain Biodiesel LLC,Owensboro Grain Biodiesel LLC,,Kentucky,0,2,OPERATING CAPACITY,Biodiesel Production Capacity (barrels per stream day),4,160,299,2020,Biodiesel,1922,299,0
161,Pacific Ethanol,Pacific Ethanol Aurora East Llc,,Nebraska,Aurora,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),3,161,300,2020,Ethanol,1923,300,Aurora
162,Paseo Cargill Energy LLC,Paseo Cargill Energy LLC,,Missouri,0,2,OPERATING CAPACITY,Biodiesel Production Capacity (barrels per stream day),4,162,307,2020,Biodiesel,1930,307,0
163,Patriot Renewable Fuels Llc,Patriot Renewable Fuels Llc,,Illinois,Annawan,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),8,163,308,2020,Ethanol,1931,308,Annawan
164,Pennsylvania Grain Prcsg Llc,Pennsylvania Grain Prcsg Llc,,Pennsylvania,Pgp,1,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),8,164,309,2020,Ethanol,1932,309,Pgp
165,Pinal Energy Llc,Pinal Energy Llc,,Arizona,Maricopa,5,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),4,165,310,2020,Ethanol,1933,310,Maricopa
166,Pine Lake Corn Processors,Pine Lake Corn Processors,,Iowa,Pine Lake,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),4,166,311,2020,Ethanol,1934,311,Pine Lake
167,Plainview Bioenergy Llc,Plainview Bioenergy Llc,,Texas,Plainview Bioenergy Llc,3,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),8,167,312,2020,Ethanol,1935,312,Plainview Bioenergy Llc
168,Plymouth Energy Llc,Plymouth Energy Llc,,Iowa,Merrill,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),4,168,313,2020,Ethanol,1936,313,Merrill
169,Poet Biorefining,Poet Biorefining - Alexandria Llc,,Indiana,Alexandria,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),5,169,314,2020,Ethanol,1937,314,Alexandria
170,Poet Research Center,Poet Research Center,,South Dakota,Poet Research Center,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),1,170,332,2020,Ethanol,1955,332,Poet Research Center
171,Prairie Horizon Agri Enrgy Llc,Prairie Horizon Agri Enrgy Llc,,Kansas,Prairie,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),3,171,333,2020,Ethanol,1956,333,Prairie
172,Pratt Energy Llc,Pratt Energy Llc,,Kansas,Pratt,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),4,172,334,2020,Ethanol,1957,334,Pratt
173,Pro Corn Llc,Pro Corn Llc,,Minnesota,Preston Mn,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),3,173,335,2020,Ethanol,1958,335,Preston Mn
174,Purefield Ingredients Llc,Purefield Ingredients Llc,,Kansas,Russell,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),4,174,336,2020,Ethanol,1959,336,Russell
175,Quad Cnty Corn Processors Coop,Quad Cnty Corn Processors Coop,,Iowa,Quad,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),2,175,337,2020,Ethanol,1960,337,Quad
176,Rbf Port Neches LLC,Rbf Port Neches LLC,,Texas,0,3,OPERATING CAPACITY,Biodiesel Production Capacity (barrels per stream day),12,176,338,2020,Biodiesel,1961,338,0
177,Red River Energy Llc,Red River Energy Llc,,South Dakota,Red River Energy Llc,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),2,177,339,2020,Ethanol,1962,339,Red River Energy Llc
178,Red Trail Energy Llc,Red Trail Energy Llc,,North Dakota,Red Trail,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),4,178,340,2020,Ethanol,1963,340,Red Trail
179,Redfield Energy Llc,Redfield Energy Llc,,South Dakota,Redfield,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),3,179,341,2020,Ethanol,1964,341,Redfield
180,Reeve Agri Energy Inc,Reeve Agri Energy Inc,,Kansas,Reeve Agri Energy Inc,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),1,180,342,2020,Ethanol,1965,342,Reeve Agri Energy Inc
181,Renewable Energy Group,Reg - Albert Lea,,Minnesota,0,2,OPERATING CAPACITY,Biodiesel Production Capacity (barrels per stream day),3,181,343,2020,Biodiesel,1966,343,0
182,Ringneck Energy & Feed Llc,Ringneck Energy & Feed Llc,,South Dakota,Onida,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),5,182,352,2020,Ethanol,1975,352,Onida
183,Sabine Biofuels II LLC,Sabine Biofuels II LLC,,Texas,0,3,OPERATING CAPACITY,Biodiesel Production Capacity (barrels per stream day),2,183,353,2020,Biodiesel,1976,353,0
184,Scott Petroleum Corporation,Scott Petroleum Corporation,,Mississippi,0,3,OPERATING CAPACITY,Biodiesel Production Capacity (barrels per stream day),1,184,354,2020,Biodiesel,1977,354,0
185,Seaboard Energy Marketing Inc,Seaboard Energy Marketing Inc,,Oklahoma,0,2,OPERATING CAPACITY,Biodiesel Production Capacity (barrels per stream day),2,185,355,2020,Biodiesel,1978,355,0
186,Sequential-Pacific Biodiesel LLC,Sequential-Pacific Biodiesel LLC,,Oregon,0,5,OPERATING CAPACITY,Biodiesel Production Capacity (barrels per stream day),1,186,357,2020,Biodiesel,1980,357,0
187,Show Me Ethanol,Show Me Ethanol,,Missouri,Show Me,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),4,187,358,2020,Ethanol,1981,358,Show Me
188,Sioux River Ethanol,Sioux River Ethanol,,South Dakota,Sioux River,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),5,188,359,2020,Ethanol,1982,359,Sioux River
189,Siouxland Ethanol Llc,Siouxland Energy & Livestock Co-Op,,Iowa,Sioux Center,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),4,189,360,2020,Ethanol,1983,360,Sioux Center
190,Solfuels USA LLC,Solfuels USA LLC,,Arkansas,0,3,OPERATING CAPACITY,Biodiesel Production Capacity (barrels per stream day),3,190,362,2020,Biodiesel,1985,362,0
191,South Bend Ethanol Llc,South Bend Ethanol Llc,,Indiana,South Bend,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),7,191,363,2020,Ethanol,1986,363,South Bend
192,Southwest Iowa Renewable,Southwest Iowa Renewable,,Iowa,Council Bluffs,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),8,192,364,2020,Ethanol,1987,364,Council Bluffs
193,Sterling Ethanol Llc,Sterling Ethanol Llc,,Colorado,Sterling,4,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),3,193,365,2020,Ethanol,1988,365,Sterling
194,Tate & Lyle,Tate & Lyle,,Tennessee,Loudon,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),7,194,366,2020,Ethanol,1989,366,Loudon
195,Tharaldson Ethanol,Tharaldson Ethanol,,North Dakota,Casselton,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),11,195,367,2020,Ethanol,1990,367,Casselton
196,The Andersons Marathon Holdings Llc,The Andersons Marathon Holdings Llc,,Indiana,Clymers,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),8,196,368,2020,Ethanol,1991,368,Clymers
197,Trenton Agri Products Llc,Trenton Agri Products Llc,,Nebraska,Trenton Agri Products Llc,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),4,197,372,2020,Ethanol,1995,372,Trenton Agri Products Llc
198,Tyton Nc Biofuels Llc,Tyton Nc Biofuels Llc,,North Carolina,Raeford,1,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),4,198,373,2020,Ethanol,1996,373,Raeford
199,United Ethanol Llc,United Ethanol Llc,,Wisconsin,Milton,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),4,199,374,2020,Ethanol,1997,374,Milton
200,United Wisconsin Grain Producers Llc,United Wisconsin Grain Producers Llc,,Wisconsin,Friesland,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),4,200,375,2020,Ethanol,1998,375,Friesland
201,Western Dubuque Biodiesel LLC,Western Dubuque Biodiesel LLC,,Iowa,0,2,OPERATING CAPACITY,Biodiesel Production Capacity (barrels per stream day),2,201,376,2020,Biodiesel,1999,376,0
202,Western Iowa Energy LLC,Western Iowa Energy LLC,,Iowa,0,2,OPERATING CAPACITY,Biodiesel Production Capacity (barrels per stream day),3,202,377,2020,Biodiesel,2000,377,0
203,Western New York Energy Llc,Western New York Energy Llc,,New York,Medina,1,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),4,203,378,2020,Ethanol,2001,378,Medina
204,Western Plains Energy Llc,Western Plains Energy Llc,,Kansas,Western Plains,2,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),3,204,379,2020,Ethanol,2002,379,Western Plains
205,White Energy Hereford Llc,White Energy Hereford Llc,,Texas,White Energy Hereford Llc,3,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),8,205,380,2020,Ethanol,2003,380,White Energy Hereford Llc
206,WIE-Agron BioEnergy,WIE-Agron BioEnergy,,California,0,5,OPERATING CAPACITY,Biodiesel Production Capacity (barrels per stream day),1,206,381,2020,Biodiesel,2004,381,0
207,World Energy,World Energy Biox Biofuels LLC,,Texas,0,3,OPERATING CAPACITY,Biodiesel Production Capacity (barrels per stream day),6,207,382,2020,Biodiesel,2005,382,0
208,Yuma Ethanol Llc,Yuma Ethanol Llc,,Colorado,Yuma,4,OPERATING CAPACITY,Ethanol Production Capacity (barrels per stream day),3,208,386,2020,Ethanol,2009,386,Yuma
