LIST,name,COMPANY_NAME,RDIST_LABEL,state,SITE,PADD,PRODUCT,SUPPLY,QUANTITY,Company_ID,Location_ID,Year,TYPE,Throughput_ID,Facility_ID,CITY
24,KOCH INDUSTRIES INC,Flint Hills Resources LP,Minnesota-Wisconsin-North and South Dakota,Minnesota,SAINT PAUL,2,ALKYLATES,"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",14000,24,52,2020,Refinery,664,52,SAINT PAUL
25,FORELAND REFINING CORP,FORELAND REFINING CORP,West Coast,Nevada,ELY,5,OPERATING CAPACITY,Atmospheric Crude Distillation Capacity (barrels per stream day),5000,25,55,2020,Refinery,709,55,ELY
26,GOODWAY REFINING LLC,GOODWAY REFINING LLC,North Louisiana-Arkansas,Alabama,ATMORE,3,OPERATING CAPACITY,Atmospheric Crude Distillation Capacity (barrels per stream day),5000,26,56,2020,Refinery,714,56,ATMORE
27,PAR PETROLEUM INC,HERMES CONSOLIDATED LLC,Rocky Mountain,Wyoming,NEW CASTLE,4,ALKYLATES,"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",1300,27,57,2020,Refinery,717,57,NEW CASTLE
28,HOLLYFRONTIER CORP,HOLLYFRONTIER CHEYENNE REFINING LLC,Rocky Mountain,Wyoming,CHEYENNE,4,OPERATING CAPACITY,Atmospheric Crude Distillation Capacity (barrels per stream day),52000,28,58,2020,Refinery,725,58,CHEYENNE
29,HUNT CONSLD INC,HUNT REFINING CO,North Louisiana-Arkansas,Alabama,TUSCALOOSA,3,OPERATING CAPACITY,Atmospheric Crude Distillation Capacity (barrels per stream day),50000,29,70,2020,Refinery,871,70,TUSCALOOSA
30,KERN OIL & REFINING CO,KERN OIL & REFINING CO,West Coast,California,BAKERSFIELD,5,OPERATING CAPACITY,Atmospheric Crude Distillation Capacity (barrels per stream day),27000,30,72,2020,Refinery,892,72,BAKERSFIELD
31,KINDER MORGAN ENERGY PTNRS LP,KINDER MORGAN CRUDE & CONDENSATE,Texas Gulf Coast,Texas,GALENA PARK,3,OPERATING CAPACITY,Atmospheric Crude Distillation Capacity (barrels per stream day),100000,31,74,2020,Refinery,912,74,GALENA PARK
32,BLUE DOLPHIN ENERGY CO,LAZARUS ENERGY LLC,Texas Inland,Texas,NIXON,3,OPERATING CAPACITY,Atmospheric Crude Distillation Capacity (barrels per stream day),13600,32,75,2020,Refinery,915,75,NIXON
33,HUSKY ENERGY INC,LIMA REFINING COMPANY,Indiana-Illinois-Kentucky,Ohio,LIMA,2,OPERATING CAPACITY,Atmospheric Crude Distillation Capacity (barrels per stream day),185000,33,76,2020,Refinery,918,76,LIMA
